country,date,avg_temp_c,max_temp_c,min_temp_c,humidity,wind_kph,condition,chance_of_rain,will_it_rain,totalprecip_mm,uv
Guatemala,2025-02-16,18.4,25.1,14.1,80,8.0,Moderate rain at times,100,1,1.4,6.0
Guatemala,2025-02-17,18.2,23.9,14.8,80,10.6,Patchy rain possible,100,1,0.6,5.0
Guatemala,2025-02-18,18.4,25.5,14.0,79,7.2,Moderate rain at times,100,1,1.4,6.0
Guatemala,2025-02-19,18.5,25.7,14.0,79,8.6,Moderate or heavy rain shower,100,1,10.2,6.0
Guatemala,2025-02-20,17.5,22.3,14.7,88,13.1,Patchy rain possible,100,1,0.9,5.0
Guatemala,2025-02-21,17.6,23.2,13.9,78,17.5,Patchy rain possible,100,1,0.6,5.0
Guatemala,2025-02-22,18.0,24.5,14.3,77,18.3,Moderate rain at times,100,1,1.5,5.0
Guatemala,2025-02-23,18.0,25.4,12.7,72,12.7,Patchy rain possible,100,1,0.1,6.0
Guatemala,2025-02-24,19.4,27.2,14.0,79,9.8,Overcast,0,0,0.0,6.0
Guatemala,2025-02-25,19.0,26.7,15.1,78,9.3,Moderate rain at times,100,1,1.0,6.0
Guatemala,2025-02-26,19.1,25.6,15.1,80,12.2,Patchy rain possible,100,1,0.1,6.0
Guatemala,2025-02-27,19.8,27.3,14.3,74,9.4,Moderate rain at times,100,1,1.39,6.0
Guatemala,2025-02-28,19.5,27.2,15.0,71,9.7,Patchy rain possible,100,1,0.39,6.0
Guatemala,2025-03-01,19.4,27.8,12.8,68,8.6,Overcast,0,0,0.0,6.0
Guatemala,2025-03-02,20.0,28.0,14.9,69,10.9,Cloudy,0,0,0.0,6.0
Guatemala,2025-03-03,20.0,28.6,13.4,70,9.4,Overcast,0,0,0.0,6.0
Guatemala,2025-03-04,19.5,27.6,13.7,74,15.8,Overcast,0,0,0.0,6.0
Guatemala,2025-03-05,20.9,29.3,14.4,66,17.1,Overcast,0,0,0.0,6.0
Guatemala,2025-03-06,20.1,27.7,15.0,68,13.6,Overcast,0,0,0.0,6.0
Guatemala,2025-03-07,20.1,28.5,13.7,71,13.7,Patchy rain possible,100,1,0.1,6.0
Guatemala,2025-03-08,20.0,28.2,14.7,74,14.8,Cloudy,0,0,0.0,6.0
Guatemala,2025-03-09,20.2,27.9,14.3,74,13.0,Overcast,0,0,0.0,6.0
Guatemala,2025-03-10,20.1,25.9,15.3,73,18.0,Patchy rain possible,100,1,0.9,6.0
Guatemala,2025-03-11,19.3,27.9,12.8,72,12.2,Patchy rain possible,100,1,0.2,6.0
Guatemala,2025-03-12,20.3,29.1,14.2,73,11.2,Patchy rain possible,100,1,0.1,6.0
Guatemala,2025-03-13,20.7,29.4,14.5,71,14.0,Moderate rain at times,100,1,1.1,6.0
Guatemala,2025-03-14,21.2,29.5,15.6,69,15.5,Patchy rain possible,100,1,0.3,6.0
Guatemala,2025-03-15,20.4,27.6,16.2,76,17.6,Overcast,100,1,0.1,6.0
Guatemala,2025-03-16,21.1,29.5,14.8,65,10.6,Moderate rain at times,100,1,0.6,6.0
Guatemala,2025-03-17,18.7,24.4,14.3,78,29.9,Patchy rain possible,100,1,1.2,5.0
Guatemala,2025-03-18,18.5,25.3,14.5,74,17.3,Patchy rain possible,100,1,0.3,6.0
Guatemala,2025-03-19,20.1,28.8,14.1,73,14.6,Patchy rain possible,100,1,0.1,6.0
Guatemala,2025-03-20,20.4,28.1,15.5,66,18.9,Cloudy,0,0,0.0,6.0
Guatemala,2025-03-21,18.8,26.3,13.3,69,20.4,Cloudy,0,0,0.0,6.0
Guatemala,2025-03-22,19.4,28.4,14.3,63,11.7,Cloudy,0,0,0.0,6.0
Guatemala,2025-03-23,20.1,29.2,12.0,60,7.6,Patchy rain possible,100,1,0.6,6.0
Guatemala,2025-03-24,20.6,29.3,14.1,66,11.6,Cloudy,0,0,0.0,6.0
Guatemala,2025-03-25,20.5,27.9,15.4,71,13.1,Patchy rain possible,100,1,0.2,6.0
Guatemala,2025-03-26,19.9,27.5,14.1,63,16.9,Partly cloudy,0,0,0.0,7.0
Guatemala,2025-03-27,19.4,27.3,13.7,68,12.0,Patchy rain possible,100,1,0.1,6.0
Guatemala,2025-03-28,19.7,27.3,14.1,73,11.5,Moderate rain at times,100,1,1.8,6.0
Guatemala,2025-03-29,20.5,28.3,15.6,75,12.6,Moderate rain at times,100,1,1.56,6.0
Guatemala,2025-03-30,20.2,26.3,15.9,76,15.5,Patchy light drizzle,100,1,5.61,6.0
Guatemala,2025-03-31,20.2,26.7,16.2,75,12.2,Patchy rain possible,100,1,1.94,6.0
Guatemala,2025-05-02,20.4,26.0,16.2,78,16.2,Patchy rain possible,100,1,3.32,6.0
Guatemala,2025-05-08,21.5,27.8,17.2,75,10.8,Patchy rain possible,100,1,3.81,6.0
Guatemala,2025-05-26,20.6,26.5,16.4,75,10.4,Patchy rain possible,100,1,2.41,6.0
